"System","Cali.User.Selection","Analyt.User.Selection","Chromatography","Report.File","Cali.Default.File","SAA.Menue","FullName","Solids","Method","Element","Analyt","Signal.Name","SAA","Version","QC.Kind","QC.Name","QC.RegEx","Filename","Zielwert","Unsicherheit","LimitBG","Unit.Accept","QC.Norm","Unit.Norm","Datum.Val","Datum.Reval","Datum.Next.Reval","Operator.Reval","BGMethod","Significant.Digits","Alpha","Masse","UseMeans","UseIntCorr","outlier","BG.SAA","QC.Spike"
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Ca",,,"5.1.1","2","VBW","Ca_VBW",,"SAA_5.1.1_Ca_VBW.csv",,,25,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Ca",,,"5.1.1","2","QC","Ca_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_Ca_NBS1633c.csv",100,20,,"%",1365,"%",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Cd",,,"5.1.1","2","VBW","Cd_VBW",,"SAA_5.1.1_Cd_VBW.csv",,,2.5,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Cd",,,"5.1.1","2","QC","Cd_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_Cd_NBS1633c.csv",100,20,,"%",758,"mg/kg",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Co",,,"5.1.1","2","VBW","Co_VBW",,"SAA_5.1.1_Co_VBW.csv",,,2.5,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Co",,,"5.1.1","2","QC","Co_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_Co_NBS1633c.csv",100,20,,"%",42.9,"mg/kg",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Cr",,,"5.1.1","2","VBW","Cr_VBW",,"SAA_5.1.1_Cr_VBW.csv",,,2.5,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Cr",,,"5.1.1","2","QC","Cr_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_Cr_NBS1633c.csv",100,20,,"%",258,"mg/kg",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Cu",,,"5.1.1","2","VBW","Cu_VBW",,"SAA_5.1.1_Cu_VBW.csv",,,2.5,"mg/kg",,,,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
"iTeva",1,1,0,"iCAP_OES_Report.Rmd","SAA_5.1.1_Calibration.csv","SAA 5.1.1 ICP-OES Rest- & Brennstoffe (iTeva)",,1,"OES Brennstoffe","Cu",,,"5.1.1","2","QC","Cu_NBS1633c","^NBS 1633c.+?","SAA_5.1.1_Cu_NBS1633c.csv",100,20,,"%",173.7,"mg/kg",,,,"Sadlowski","Kaiser","3","0.01",,1,1,0,0,0
