"Labels","StartTime","Intensity","Concentration","Comment","TimeStamp","Operator","Outlier"
"M 220711/001 QC VBW","2022-07-21 11:49:49","12.836382167305","0.224322947624364","07.07.2022","2022-07-22","Schützmann","0"
"M 220704/001 QC VBW","2022-07-05 10:45:55","12.4363796945707","0.120625262718712","28.06.2022","2022-07-06","Schützmann","0"
"M 220628/004 QC VBW","2022-06-28 12:35:24","17.5636639709653","0.226000553827537","22.06.2022","2022-06-29","Schützmann","0"
"M 220620/004 QC VBW","2022-06-21 12:53:56","18.4000322328061","-0.16532025015655","08.06.2022","2022-06-29","Schützmann","0"
"M 220601/001 QC VBW","2022-06-01 15:57:59","14.3272931491293","-0.25808559699311","13.05.2022","2022-06-02","Schützmann","0"
"M 220601/001 QC VBW","2022-06-01 13:54:18","19.6727593018833","-0.114918458144812","19.05.2022","2022-06-02","Schützmann","0"
"M 220601/001 QC VBW","2022-06-01 13:02:53","28.6000566081403","0.0761174962722337","25.05.2022","2022-06-02","Schützmann","0"
"M 220505/008 QC VBW","2022-05-09 12:38:58","45.1637536585496","-0.11106603447124","","","","0"
"M 220405/001 QC VBW","2022-04-29 11:46:05","34.7273522329536","0.0202661327861685","QC BW 05.04.22","2022-04-29","Schützmann","0"
"M 220425/001 QC VBW","2022-04-25 13:37:17","32.7273459202118","-0.250004059727838","22.04.2022 BW","2022-04-29","Schützmann","0"
"M 220405/001 QC VBW","2022-04-07 12:58:33","40.0728286257776","0.11044659986254","05.04.2022 BW","2022-04-11","Schützmann","0"
"M 220323/001 QC VBW","2022-03-29 13:24:58","32.5091609601858","0.0238484572191289","","","","0"
"M 220307/179 QC VBW","2022-03-16 13:22:20","23.781860712821","-0.329941282972815","01.03.2022 BW","2022-03-17","Schützmann","0"
"M 220307/179 QC VBW","2022-03-16 12:07:16","25.5273235201279","-0.258043234762213","28.02.2022 BW","2022-03-17","Schützmann","0"
"M 220307/179 QC VBW","2022-03-08 13:52:34","15.4545697455045","0.124365374650817","07.03.2022 BW","2022-03-10","Schützmann","0"
"M 220221/001 QC VBW","2022-02-23 14:14:22","11.9272888436648","0.0608872615265506","21.02.2022 BW","2022-02-24","Fassbender","0"
"M 220211/012 QC VBW","2022-02-14 12:14:22","23.3818644655751","-0.737165647029884","11.02.2022 BW","2022-02-17","Schützmann","0"
