,,Raw.Average,Raw.Average,Raw.Average,Raw.STD,Raw.STD,Raw.STD,Raw.RSD,Raw.RSD,Raw.RSD,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,Raw.Intensity,ExtCal.Average,ExtCal.Average,ExtCal.Average,ExtCal.STD,ExtCal.STD,ExtCal.STD,ExtCal.RSD,ExtCal.RSD,ExtCal.RSD,ExtCal.StandardConcentration,ExtCal.StandardConcentration,ExtCal.StandardConcentration,StartTime,BrigidMS,BrigidMS,BrigidMS,BrigidMS,BrigidMS,
,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,,ExtCal,ExtCal,ExtCal,ExtCal,ExtCal,
,,187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),187Re (mp_STD),194Pt (mp_STD),195Pt (mp_STD),,Sample Type,Standard,Dilution Factor,Amount,Final Quantity,
,,Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (%),Y (%),Y (%),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (cps),Y (%),Y (ng/l),Y (ng/l),Y (%),Y (ng/l),Y (ng/l),Y (%),Y (%),Y (%),Y (%),Y (ng/l),Y (ng/l),,,,,,,
46,190131/18,258883.75704016237,61.182000655187487,65.000194800650817,4506.6367382548569,4.0943758227214344,5.128380567207854,1.7407954789360198,6.69212477342269,7.889792612062303,250712.92155594207,66.000220400895671,66.500207800717675,268945.27591505169,61.000162400466721,62.500176600549047,260019.3597596534,56.50014540040695,56.500143400397839,254954.04462827495,59.000158800473116,62.000194000718395,260250.93274545498,62.00018440061374,71.500231000821216,257412.84807014553,67.000260401203533,61.000166800494547,261299.51552025211,55.000140000388015,75.500248200866977,257994.1147198893,66.500199000655769,65.5002058007473,256533.82415985674,57.500149800442635,65.500190200612408,260304.36023319574,62.50021180090998,63.000184400608646,259294.13013406936,60.000174800606224,65.5001946006249,99.598078074264109,44.678683547452422,53.01401866030168,1.7337988402257187,9.5573328834729754,10.585115482268341,1.7407954789377889,21.391258928482763,19.966634768993206,,,,2019-02-01T11:17:20.3200407,UNKNOWN,,100,,,
47,190131/19,258549.74572698353,56.000151382285985,56.136514709556543,5527.478465603238,5.6480372876224569,4.6534693589236751,2.1378781286600055,10.085753606389444,8.2895587355220677,253839.39791664272,55.500143400417372,59.500174600580714,264449.19181862276,51.000129200380641,51.000115200279353,258938.20601443684,51.000125200349444,51.500129000359117,270626.465001545,51.000122000323032,53.000136000423687,253565.91083229389,62.500188200647912,54.500139800394166,251927.68737269464,62.000181600608,60.000178400612967,254546.22096150726,56.500150200448253,54.500142200427753,257176.15318600382,59.000157200454396,55.500146200436077,257691.91348282559,50.000114400286392,53.500138200401196,258849.07753473395,51.500147000491118,67.00020240068514,262436.97887551266,66.0002068007392,57.500159800521828,99.469576830199927,34.0167368483254,35.237439309016253,2.1265383277237144,13.019228628661738,10.465854697315114,2.1378781286602164,38.273008627230084,29.700951324908566,,,,2019-02-01T11:20:42.8466246,UNKNOWN,,100,,,
48,190131/20,262662.32350355876,6718.6743704994406,6968.3118535087733,3170.7520910580852,148.70209315906891,162.20730284960365,1.207159081197698,2.2132653699068161,2.327784781444977,265654.58416543819,6422.6549934461891,6672.2846711410148,270506.86795317108,6481.6852973006417,6747.3357317132659,260476.89506957019,6911.9190129092385,7169.5646335013271,260117.54921622566,6691.2931618634993,6899.405849309177,260208.87479450824,6825.3678755235651,7049.4915452115019,261340.43025244385,6769.3382081197005,7080.0085169243757,260069.13384371073,6695.7975910340028,6975.4493647921026,261637.10086891442,6789.3471261416971,6828.3674444959761,261853.15364762783,6707.3011668527251,7005.4666030300414,264157.50141830789,6853.384168241425,7114.03041746008,263263.46730922849,6757.3294740611627,7110.025611017636,101.05177282102171,13820.383156648462,13868.074769052431,1.2198556523203168,433.2253471072703,434.83039135910229,1.207159081197783,3.1346840546809438,3.1354776967993887,,,,2019-02-01T11:24:05.470214,UNKNOWN,,100,,,
49,190131/21,253099.93991100954,216.41106381886723,228.50220680426165,3475.0855586593029,9.2408914063949261,15.740367402996998,1.3730092389121664,4.2700642209907578,6.8884968872446954,245264.49437078828,224.00212002097791,228.50213382033448,256710.689058133,212.50192021824682,194.50157701331622,257579.11544895955,201.50170701511874,242.00237922372071,253839.17814040923,214.50192861813048,232.002303624045,254886.69290499942,225.50217102227907,221.00202321915822,254090.37713761264,205.50175981565081,232.00226842331017,255598.229688337,226.50216942185679,249.50257622740023,253086.95514200605,218.50200781922604,224.50217622249534,250666.610659063,207.00179001616897,241.50246742665641,250169.28011858882,216.00195321847491,238.00249522876933,252207.716352208,229.00217482140934,210.00187441767184,97.3729208199708,3.8097798177339368,3.9564324254766663,1.3369391990570008,0.22613761293269857,0.33791084033331087,1.3730092389123443,5.9357134467473136,8.5407964548415052,,,,2019-02-01T11:27:25.4066497,UNKNOWN,,1,,,
50,M 190131/22,254668.80666488406,282.09421000359146,290.730764915943,7051.33660311329,10.305133222782629,10.593548839463484,2.7688261846658229,3.6530821467946581,3.643766026112278,261445.81703221341,258.00274042998353,283.00329963949895,270921.72830836824,286.00335324019642,275.503174638121,247627.86497726711,287.50345424328071,308.00391765140472,254750.53983004353,281.0032556388025,292.00355044485,258612.71106203919,294.50360264560015,291.5034954430422,254640.9758926603,283.00327963884467,286.00340004194408,249326.8582229488,283.50330663967327,295.00355724373492,246105.30801346962,295.00358564493934,276.00315403710346,251226.54417263117,278.00325403992247,300.50375584848842,254896.8361574249,272.50309583635504,287.00337924079508,251801.68964465795,284.0033820419078,303.50372984639023,97.9764971710984,5.1868048466208112,5.2169843043300252,2.7127989084929522,0.30832885565514218,0.33015802944756428,2.7688261846670583,5.9444853772745585,6.328522575265132,,,,2019-02-01T11:30:45.353086,UNKNOWN,,1,,,
51,M 190131/23,252073.82183902987,57.727434982341947,56.318336200486129,4664.7168131490034,4.6387891924469686,4.713155821486529,1.8505359973983389,8.03567522767279,8.3687767421045471,261161.35188499902,54.500145800462327,60.500181800639439,257970.91971915664,55.00015600051713,48.500123400385043,253851.73916722732,57.500171800621196,55.000151200502231,253879.51124430535,64.00018640058,57.000153200478564,248040.44475725154,52.500136600427922,55.000142400421112,249705.59165775162,59.500166600538968,53.0001320003632,254510.18442654284,64.000188400610725,62.500175400534658,247764.37608560821,60.000169200528013,61.000175200557443,249278.48138245061,63.000186000620644,49.00012160036016,245926.17132324545,53.000146400472644,58.500170600554142,250723.26858078953,52.000131600381771,59.500171400551451,96.978151410661752,0.40653684345111335,0.38477505976290394,1.7946156014672063,0.10134305844484338,0.10012452146093324,1.8505359973998294,24.928382280074953,26.021572583895995,,,,2019-02-01T11:34:05.4275296,UNKNOWN,,1,,,
52,M 190131/24,251769.24100604968,57.227432818707143,58.681984127813045,7737.0025439002438,5.9890319213524608,6.3177567307205988,3.0730531311068034,10.465316416211316,10.766092565923007,243454.99728718703,60.500211000978787,60.000172800542884,268589.0347245353,56.000156000493277,41.500084600186625,261623.36888405992,56.500146200421831,57.500160200523283,255199.76261508564,45.000109600332642,63.500175800516573,247693.83096228237,64.500178200516714,62.500200600773688,246311.31308961363,63.500182200560729,63.500204600785842,246782.05643325142,53.000139600443354,60.000171200554405,245241.77331089886,64.000188000621762,63.500199000723434,248302.77572241798,54.000128800335993,60.500169000527578,251118.57197225612,60.00018240065809,55.500133400342477,255144.16606495855,52.500139000415437,57.500154200466646,96.860972697211722,0.399478154980031,0.43897150143389452,2.9765891542916783,0.14921306605067547,0.15625559397757463,3.073053131106295,37.351996395931664,35.59584015526471,,,,2019-02-01T11:37:25.8779947,UNKNOWN,,1,,,
53,M 190131/25,253885.9529152016,171.04670286416229,175.72858361027838,5790.1794067627989,10.84323926858,9.6083691367818371,2.28062220074725,6.33934421828126,5.4677326473482388,252126.39314765809,170.50124300951362,170.50123300938782,260307.35713675045,159.00113680897178,167.50120340913492,253730.48677950288,187.5014706119658,184.50146501240306,268587.13245992316,153.50097900649166,159.00109040790042,251475.41209894692,159.50111540834783,167.5011794087024,248429.70864738067,186.50145661190564,179.0013448105249,248911.99655002455,176.50129860987647,194.50155981285343,253803.97488978197,169.00121360915438,178.00134281070763,252490.81399660083,177.00132161040216,181.50141261153141,251967.02106203389,169.00118400855914,174.50128740993281,250915.18529861406,173.5013122105965,176.50130100998354,97.6753167116789,2.8277242005990568,2.852447193481817,2.2276049575769115,0.29024473833987829,0.25880475485581106,2.2806222007474277,10.26425201858051,9.0730778626581028,,,,2019-02-01T11:40:46.7044813,UNKNOWN,,1,,,
54,Rinse,261455.84821020515,34.181881672872073,34.181886836574151,5981.5247281166767,4.4624837801236206,5.6181799850946783,2.2877762226636649,13.055114469210752,16.436131837764155,251943.9921960347,30.500046200080238,30.000045600078245,268481.79524463392,26.000036400059361,42.500161401048892,264631.28089397645,35.500072600182804,34.500055800100085,253909.72041377291,34.000061200127355,36.000066800139194,254176.00022113169,36.500079800231923,20.000024000036323,259051.60054061725,38.500074600177037,35.000060400122713,265719.02123147214,33.500060200133042,37.000071600163359,259660.38485592124,40.0000820002008,34.500064600153358,264774.70001754531,31.500059400145204,37.500081000210969,267808.66780159547,40.000075200151841,33.000055600103678,265857.16689555609,30.000050800103203,36.000068400158881,100.58761615922136,-0.12711423869540431,-0.10385345429139398,2.301219565433946,0.095987594885216229,0.10537254383010235,2.2877762226627558,75.512858252823378,101.46272413284019,,,,2019-02-01T11:44:07.8279849,UNKNOWN,,1,,,
55,S4,260178.86487251258,2268.1161003505104,2322.5807843942671,4454.9920967814578,74.639134129843811,59.328697041186764,1.7122805493691427,3.290798655250021,2.5544298583637763,264042.76769439626,2239.2016734555623,2219.6987813425894,269052.7058922422,2172.690157757474,2263.2062997397506,266118.40590533463,2184.1917729224706,2313.7161285824996,260628.8907410712,2145.6846153263164,2254.2044094447383,255973.406728291,2264.2071951504968,2386.7286985961578,257051.106951293,2297.2118864185859,2326.2176516782865,256574.96699753459,2326.21750643506,2352.222041430532,257014.01539561158,2274.7078564720496,2412.7344363342968,257460.76947486395,2342.2204548451068,2359.7235778649024,256928.66704481631,2345.7207426349823,2300.7126059275979,261121.81077218326,2357.2232424375061,2359.2239973955889,100.09633355570399,46.562491172369349,46.151768287057976,1.7139300501068124,2.158344029215411,1.8050634373799774,1.7122805493699767,4.6353706059786468,3.911146862570289,,,,2019-02-01T11:47:29.7305331,UNKNOWN,,1,,,
56,S0,274336.18285134214,38.000075963815682,36.454615091067,8288.1274353584358,5.6214055111621031,5.6100727265531569,3.0211572346071547,14.793142825595668,15.389197533806561,287681.82045509812,41.0000892002312,41.000081600187528,286488.58042519959,40.000083200202241,38.500082200203437,273957.54675594263,35.000077600234569,43.000089200207519,284074.290990468,48.000106400264961,33.500059000128246,277131.45052482106,31.000050000094717,42.000083200186239,271996.68256923987,39.500073000149833,38.500072600152556,268600.78638596745,40.500083000196561,28.000041600066886,266856.14263530052,42.500092200228558,32.000048400082406,266052.84690505022,38.500077800172726,39.000073200157445,267468.89715558122,34.000057600111525,39.000088800260158,267388.96656209556,28.0000456000856,26.50004620010456,105.54295437695122,-0.086077150250781331,-0.091975302720743515,3.1886186017759495,0.1046322577595132,0.10253595136273436,3.0211572346057896,121.55636827505619,111.48204825599237,,,,2019-02-01T11:50:50.3950104,UNKNOWN,,1,,,
57,M 190131/01,288994.31337540719,1518.4570762914882,1570.2363044977813,6855.9310580407255,91.276983396161086,93.907387538538316,2.3723411640750132,6.0111665203659168,5.9804621297794611,293196.03165675135,1426.082408022701,1457.0864620246964,276924.34976562753,1642.108197151721,1722.6200574545314,297886.2573056363,1367.0776625645872,1440.0858985069954,276202.86595185648,1664.6111552452112,1716.61892011554,290515.09771973867,1566.5989853068902,1592.6019535587243,292709.42786310008,1579.100346413647,1619.6058531786553,293017.17135846004,1544.5960702166649,1595.1022189795585,292938.7484381,1508.0920464846772,1585.6011078821671,288558.262692414,1490.0897446626427,1501.0909003509485,291275.3820900601,1448.5848004163734,1535.0947318743095,285713.85228773451,1466.086422721256,1507.0912455494695,111.1822484178365,277.57855834616004,278.10324263842813,2.6376222463595131,23.053114118049081,23.040975663914679,2.3723411640741476,8.305077400575092,8.285043872671082,,,,2019-02-01T12:03:18.765923,UNKNOWN,,10,,,
58,M 190131/02,283544.43861330848,3451.2976788632745,3519.4540423105445,5823.0333736972016,140.03722820188889,185.49841747279649,2.0536581151706255,4.0575239006335666,5.2706588931905918,288269.48385371995,3270.9297929200648,3354.9532622813508,282789.08425848081,3422.4696786251661,3384.9598044811269,289350.75966711011,3392.4623296680957,3393.9622577720811,281206.78258958971,3392.4617554442966,3492.4898702069586,275786.58326567663,3674.0420785053902,3715.0558263427461,295459.50837309693,3262.4279592437756,3253.92566695789,281101.47593367117,3503.4961717624742,3685.550914256517,275728.73209808581,3703.5509018824059,3873.6029118808378,283645.840056827,3467.4829095373816,3625.0278521884611,284662.59279184276,3479.4878300903911,3512.4950944188217,280987.98185829225,3395.4630598165772,3421.9710046292057,109.08556588256926,653.74101042126051,645.24378846566344,2.2402445762279322,39.115737960468785,46.11283646979097,2.0536581151713125,5.9833691533690407,7.1465758050059653,,,,2019-02-01T12:06:09.2761617,UNKNOWN,,10,,,
59,M 190131/03,275897.92657918413,5148.1572993431073,5319.9098732989178,8350.6273365721827,140.02422647079925,234.91464342227343,3.0267089862219421,2.7198902117591865,4.4157635940663225,300015.28610533226,4770.4369462901359,4659.870386139266,270386.98807013332,5159.0665177114161,5242.6015117352,273148.5345981826,5233.599775409979,5324.6366390552266,274078.98099378543,5103.5483009169438,5429.1832368716523,271435.19989638217,5266.6135485156337,5268.1118122578719,276299.21396990481,5230.098802318882,5448.6922713997392,276408.08166833466,5259.1096152557129,5535.2292758478752,273088.90068774117,5096.5406462729416,5463.6982087254946,276219.69234248757,5232.5993436594672,5369.1539974752577,274554.92988435004,5117.0497934827044,5390.1666208000552,269241.38415439182,5161.0670029403536,5387.6646459804551,106.14379034872469,100698.40115107992,100725.77327446522,3.2126636408012303,5193.6301530713135,6719.971954787683,3.0267089862217551,5.1576093500026881,6.6715516161654023,,,,2019-02-01T12:09:30.4714434,UNKNOWN,,1000,,,
60,M 190131/04,272895.82909218,1855.6843489194384,1929.37726187338,7046.5664234051219,57.879786994464865,53.663721674404528,2.5821451529128723,3.1190534655405244,2.781401166835475,282854.24093435804,1805.6319235549531,1919.1481647033775,279738.28368160367,1818.1330978096437,1896.1447547236353,261749.6561046213,1922.1489000217584,2060.1715224249451,276756.67529665941,1822.6342609948977,1923.6498344071551,261008.11106225051,1993.1595264199125,1996.6602131150407,274992.7774716994,1852.1380883642833,1912.1469845563127,276424.8322397942,1870.6412293556732,1900.1449362967564,274631.11488642707,1852.1377782921377,1929.6498543096816,276048.2955620737,1861.1394761196539,1922.6484913185864,270715.58898328338,1818.1332662446225,1889.143497355361,266934.54379120923,1796.63029093629,1873.6416273963271,104.98881970353737,36155.564988538819,36406.973452718812,2.7109637190761187,1979.9611825567954,1845.7817068548472,2.5821451529136281,5.4762280251586057,5.0698575899255571,,,,2019-02-01T12:12:52.0217256,UNKNOWN,,1000,,,
61,M 190131/05,277728.1106999786,1152.78109985211,1213.7869558068787,8779.6353541028784,57.768812300386813,67.987675008547569,3.161233960788095,5.0112560231771637,5.6012856855387758,298768.59253062372,999.04118255182016,1030.0429486117005,273772.79922912596,1136.5520430008396,1209.5589886998903,262685.93272967945,1189.557028954963,1226.0606994320015,276640.440372801,1146.0528744548494,1260.5639734662934,273132.30208767555,1171.5553692382769,1271.0651273639817,282731.0557682662,1188.0570675728036,1184.5566893384284,280854.18952415721,1165.5548252014175,1203.5587183031184,280595.80699140148,1133.0517879868198,1219.0600121825353,276363.21852866048,1139.0525108471697,1262.5643807153006,275462.3291006959,1200.5581138341026,1212.0593809388488,274002.55083667784,1211.559294730147,1272.565594823569,106.84790103931887,2176.1788725594265,2222.8543502556008,3.3777121340440588,167.04794334121604,182.95273033344355,3.1612339607879592,7.6762046285629646,8.23053162760782,,,,2019-02-01T12:16:13.8820082,UNKNOWN,,100,,,
62,M 190131/07,277424.18155783135,1332.1625455238659,1391.0780753641907,4203.3681026147478,35.9522251576946,49.070110401385875,1.5151412104782658,2.6987866667244105,3.5274878722058136,283222.58574309229,1273.5655672124258,1283.5664512687752,274860.31751803646,1352.5736630375836,1411.580047958437,269607.04101296834,1334.572096542985,1361.5745495032818,271654.62115718663,1367.0754722067338,1390.0776907640252,277588.50866550097,1378.0764374667938,1451.0846689647458,280437.89951479132,1340.072333529504,1367.57573444304,280405.302470174,1328.0713286733503,1410.0801065851672,279650.5890029638,1330.5711812272616,1394.0784768575654,281123.97391935682,1295.0674623341758,1469.5867389410555,277962.6940135936,1281.0664574904135,1394.5789239291382,275152.46411848062,1373.0760010412955,1368.0754397908659,106.73097304516924,2526.7063742773557,2557.001276918611,1.6171249569523929,98.180753801149422,101.3562332506306,1.5151412104788131,3.885720747003274,3.9638710455699444,,,,2019-02-01T12:19:35.9572911,UNKNOWN,,100,,,
63,M 190131/08,268072.432730155,1160.1909263623732,1192.6031494475756,11873.120358070124,56.98764646040344,78.006842360951552,4.4290717389884522,4.9119196819682731,6.5408885090639757,284264.80207574693,1062.5456145785272,1062.0457199932603,294379.08406221453,1051.5448713408919,1052.0447215191412,267293.47898562253,1169.5551908262376,1159.5540479315682,254110.31483740266,1222.0600105602666,1247.5629494119994,260083.40979830927,1171.0561739572624,1189.5573297974966,273262.75979612727,1176.0561223155335,1169.0551930281486,260296.62349770847,1219.559733537553,1275.0657718324733,265912.38186763355,1135.5520126023371,1196.5577490112678,267369.2977408024,1160.0544465843173,1275.0656758160862,261621.99726374418,1198.0585117051094,1241.5623501660527,260202.6101063934,1196.0575019780706,1250.5631354158379,103.13315671046071,22.761619846092014,22.683611819924955,4.5678414973892254,2.06821784833234,2.38696529591887,4.4290717389880037,9.0864264596152466,10.52286256204664,,,,2019-02-01T12:22:58.5875748,UNKNOWN,,1,,,
64,M 190131/12,277221.39054300764,945.21805253484342,997.63121606613834,7341.3069541968989,33.026132679740641,42.775379208503189,2.6481747818294639,3.4940226322564021,4.2876945427966016,286675.50953673257,872.53085010327663,927.53477391643446,295604.96419479261,921.03443570637319,943.53609679724434,272063.27550606895,940.53581717949351,1018.5419191428771,271767.39372352907,959.03746268927114,1039.0437558655344,274980.33951788314,970.03787948861373,1059.0452531505878,275682.50062761357,970.03821752768761,955.53671001767873,276882.0299321225,918.03417448942525,1011.5413711104199,274214.88924546418,990.0395451936663,1016.5417303294341,274693.84282192541,970.03802670614118,1033.54324082884,272083.06252761051,953.53683044060074,1001.5404130422461,274787.488339341,932.53533835873054,967.538112526225,106.65295503601296,17710.723851993207,18148.553485683966,2.8243566593403235,995.67821748743654,1180.467571746085,2.6481747818301309,5.6218945414553492,6.5044719551740986,,,,2019-02-01T12:26:18.2328543,UNKNOWN,,1000,,,
65,M 190131/13,266171.056742016,121.72791422179407,121.95518634906239,7245.11215367041,4.3552910394434825,7.827777301497254,2.7219759512367538,3.5778901390751954,6.4185686036282581,278464.53805991891,116.50062580364458,124.50069580416475,265489.58632259077,121.50061980329261,116.00058800320721,268894.85371302528,121.50065900390891,124.50065540360171,267531.16586733458,129.00071120412852,118.00057720291667,259580.88067838023,123.00069840442995,140.00083480523571,267729.58760835265,114.50054740272363,127.00072040463219,249862.52887371229,127.00068320386228,118.50062300365164,266128.61809694895,120.00062160345074,125.50066820374157,273207.20470449753,122.00062920341506,119.50060900327932,264546.00435591507,125.50067380386494,118.50057780289035,266446.65588150045,118.50058700301372,109.50050020236522,102.4016569969201,1.6498558501235336,1.6201615838004915,2.787348477122932,0.13874339093538513,0.1738448451451014,2.7219759512355997,8.40942503704167,10.730093027962379,,,,2019-02-01T12:29:38.8831352,UNKNOWN,,1,,,
66,M 190131/18,268212.72521893738,2682.3349565749281,2763.9437291401182,7295.3102160289045,104.95268152790528,104.92890759506925,2.7199716978655171,3.9127358524201359,3.7963474613759,284296.47938751,2442.7395841927432,2507.2541952693095,258305.53039026819,2698.2919736756112,2843.8248798773293,267523.89873715671,2601.2724871220894,2744.8027533448012,271205.20892616804,2694.2914256414651,2680.2887744717923,263904.57572625385,2678.2884680402772,2726.7987946950479,257402.232439971,2798.3147219709203,2863.3293576444407,265727.43510111864,2831.8212142899843,2824.8209028587853,269871.07390989864,2695.7922668617,2824.8202894387468,269928.01010745397,2718.2971206565753,2723.29760662394,272117.03661853983,2608.773687062278,2811.3169658325469,270058.49606397288,2737.8015728105629,2852.8265004845584,103.18713020965096,53.581401292750279,53.4448772500022,2.8066607375413479,3.2906471940471747,3.2399511419216593,2.7199716978647448,6.1413981617767215,6.0622295505815309,,,,2019-02-01T12:32:59.8234165,UNKNOWN,,1,,,
67,M 190131/19,266493.08900164429,2101.7689845671866,2150.7772071740269,6230.80727147554,49.0019172063712,63.718670191938187,2.3380746175511873,2.3314606679507204,2.9625881276499175,263661.42720241164,2109.678914652226,2123.6809356632248,257310.7076244861,2137.6855389311431,2152.1864550569649,253206.14696555477,2026.6658346919999,2158.6880411197112,270702.69608403643,2122.1807618490648,2190.1934952377205,272560.88128072268,2117.1809468098804,2151.1854708249621,269992.44897334342,2010.1632001770927,2041.6679361106187,272530.62099225254,2067.6721490263253,2091.1755059779643,265522.81222343055,2177.1908436351137,2129.6828180091225,269360.82452671486,2110.6794035567682,2149.1864039044021,267782.99310298084,2133.6828003203659,2172.1894897957582,268792.42004215287,2106.6784365890658,2298.7127272138482,102.52554964473848,42.039250745539007,41.650913768229422,2.3971238527496208,1.3473575990277833,1.6505302547031815,2.3380746175523082,3.2049990785593576,3.9627708143156672,,,,2019-02-01T12:36:22.2036998,UNKNOWN,,1,,,
68,M 190131/20,277601.14366880571,770.38770410727375,782.70674297041126,2127.4296462414522,21.113010582232157,32.725400363699556,0.766361989048431,2.74056951709762,4.1810551215522977,278769.45715623256,724.521239630043,738.52208486844313,279925.04600483034,776.02442277872512,739.02226028179894,280062.77151115087,783.02492800469042,768.5238945508047,273711.75825586112,787.52510420905367,792.02541002454939,277850.92497968464,767.02392995893274,777.02464039641052,277185.33636065567,736.52198526452628,754.52306211379846,276487.95882257569,791.52532981878244,805.02623886550009,280494.65547318,784.02487279847446,797.02589405624792,275423.15157264663,773.02413756107558,795.52559703258942,275958.99725645687,772.52426537377323,790.5255634445856,277742.52296358853,778.52452978193435,852.02952703979622,106.79905412660334,14243.634651546778,14031.220630721349,0.81846735548793148,443.01497378836069,664.25919994923163,0.76636198904691755,3.1102663373933974,4.7341512006078537,,,,2019-02-01T12:39:44.8289835,UNKNOWN,,1000,,,
69,M 190131/21,254959.63688075889,216.63833278227415,216.82018271038248,10820.378468473318,12.478373183663445,9.5533552166366746,4.2439574361073715,5.7600024074245715,4.406118977123807,261616.00294878372,195.00162201426912,213.50200062042336,265729.98440744041,213.50192021806751,213.00197961986208,268919.52771435684,217.50196221829032,224.00210962073751,228524.27803631997,212.00186161684897,203.50182261773225,260875.32178513092,233.00223122193174,211.50191381804748,251449.7192526517,209.50186141724026,214.50195141876407,249386.10823212756,227.50218102194003,213.50189341741606,256431.23629334645,202.00170361495708,237.0023216233796,249780.29974636846,212.00190561789106,214.50195541877466,253976.2595106746,230.50221062192418,210.50182781633848,257867.26776114781,230.50220102165585,229.50223382273134,98.088385730188534,3.786668648354663,3.6837284414945004,4.1628293401539764,0.32592903893385594,0.20106059701722176,4.2439574361073289,8.60727645328763,5.4580732594841006,,,,2019-02-01T12:43:04.7842634,UNKNOWN,,1,,,
70,Rinse,278129.27311322984,35.727339636511516,35.363702836510633,3271.5811693236565,4.4517761179395192,5.3670043187312411,1.1762807750163558,12.46041872479649,15.176590368783927,285517.85452032497,32.5000598001252,36.500073000161841,275086.1934764426,37.500073800165353,33.000052800094565,279969.45735239418,41.000089200229766,24.000034400056641,276007.72197671351,38.500065800123281,37.000068400148471,278550.96256108512,41.500084200191914,39.5000802001868,275751.75104499242,31.000048400085596,38.000078000189923,279329.78654128854,39.000076000171354,30.500046600084563,279393.99304655625,33.500058600121037,38.500077800175113,276726.93482521019,31.50005140010008,43.000086400197439,273426.967354569,28.500046200093369,38.500088200244718,279660.38154595124,38.500082600219756,30.500045400076878,107.00223673736447,-0.14031764775171363,-0.12117909971561174,1.2586467395778995,0.085630391069516559,0.10367646473201723,1.1762807750152278,61.026102162884079,85.556391304548043,,,,2019-02-01T12:46:24.6995433,UNKNOWN,,1,,,
71,S4,277512.16048939415,2350.9502934771026,2418.4633437380107,9840.161673000157,113.81604612528955,106.73334062101533,3.5458488217766675,4.8412782882343857,4.4132709680042863,300392.186915129,2145.6851970770949,2228.6999610615735,269270.94626821618,2410.2343485719662,2412.2346918267167,274028.0476769869,2408.733237699958,2488.2489854477326,288287.24029066076,2339.720017377751,2377.2280088546404,266890.22793021239,2144.1870493584743,2229.2018713440193,269020.43066172674,2490.2501021239332,2568.265521235418,272692.665969211,2410.2339736620729,2471.2464920066864,283019.45415835723,2325.7170693283633,2410.2334979375464,278050.29290816927,2325.7178427464983,2448.2406905552571,274574.12816735375,2407.7330892827244,2468.7453571500996,276408.14443731256,2452.2413010192931,2500.7517036984323,106.76482040815125,45.279098254127334,45.090790752195815,3.7857191265140875,3.2093507829967489,3.0042147318917429,3.5458488217763691,7.0879299869983745,6.66259047973215,,,,2019-02-01T12:49:47.0548266,UNKNOWN,,1,,,
