LIMS export of <Calib_2018.d80>
Version 03-CDate 2018-12-05-12-35-14

Nr;Pos;SampleName;CreationDate;ProcessTime;Amount;Unit;ConcentrateAmount;Unit;Type;State;CalFile;MethodFile;Height;Cell;Hg [ng];Concentration;Unit;DilutionWeight;FinalVolume;CalFactor;DilutionFactor;Statistics;Group;Remark;
58;-;manueller BW;2018-12-03-08-24-02;2018-12-03-08-24-02;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0076;0;0,0556;;;;;1,0000;;;;;
59;-;manueller BW;2018-12-03-08-41-27;2018-12-03-08-41-28;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0083;0;0,0611;;;;;1,0000;;;;;
60;-;manueller BW;2018-12-03-08-47-45;2018-12-03-08-47-45;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0043;0;0,0300;;;;;1,0000;;;;;
61;-;manueller BW;2018-12-03-08-52-07;2018-12-03-08-52-07;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0071;0;0,0519;;;;;1,0000;;;;;
62;-;Amalgamator ausheizen;2018-12-03-09-38-52;2018-12-03-09-38-52;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;;0,0139;0;0,1042;;;;;1,0000;;;;;
63;1;NIST 1570 a;2018-12-03-09-46-04;2018-12-03-09-47-38;0,02640;g;0,02640;g;normal;finished;Calib_2018_11.c80;Feststoffe std.m80;0,1551;0;1,1903;45,0889;µg/kg;;;1,0000;;;;29.7 µg/kg +- 2.1;
64;2;NIST 1570 a;2018-12-03-09-46-35;2018-12-03-09-53-38;0,02620;g;0,02620;g;normal;finished;Calib_2018_11.c80;Feststoffe std.m80;0,1405;0;1,0780;41,1446;µg/kg;;;1,0000;;;;;
65;3;NIST 1632 d;2018-12-03-09-46-50;2018-12-03-09-59-57;0,02580;g;0,02580;g;normal;finished;DMA SN 18012392_ohne Z0.c80;Feststoffe std.m80;0,1390;1;2,6408;102,3579;µg/kg;;;1,0000;;;;92.8 µg/kg +- 3.3;
66;4;NIST 1632 d;2018-12-03-09-47-09;2018-12-03-10-06-16;0,02810;g;0,02810;g;normal;finished;Calib_2018_11.c80;Feststoffe std.m80;0,3601;0;2,7679;98,5012;µg/kg;;;1,0000;;;;;
67;-;BW;2018-12-03-09-57-07;2018-12-03-10-20-55;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11.c80;BV-Method.m80;0,0098;0;0,0724;;;;;1,0000;;;;;
